feature,shap_value
ordered_qty_log,0.042262900291591604
po_value_log,0.04177862419473853
composite_score,0.03814696088763806
sku_encoded,0.034857272559415974
supplier_delay_rate,0.03145808034972446
supplier_fill_rate,0.02925741400243326
order_month,0.022818203147906675
delay_rate,0.021542711963088195
supplier_total_pos,0.021278183539816274
supplier_avg_delay_days,0.017330243490292378
order_quarter,0.012766419552016274
supplier_defect_rate,0.011719012045715555
is_quarter_end,0.007099918722419273
promised_lead_time,0.006143198629251014
is_large_order,0.005036951328770436
supplier_encoded,0.005018594104472824
avg_lead_time_days,0.004690395308811538
is_festive_season,0.0043120373426036454
category_encoded,0.0034077404907757436
payment_terms_days,0.002294798304259965
