supplier_id,supplier_name,city,state,category_supplied,avg_lead_time_days,payment_terms_days,annual_capacity_units,credit_limit_inr,contract_start_date,reliability_tier,is_active
SUP001,Agro Fresh Pvt Ltd,Amritsar,Punjab,Staples,7,30,62445,3321000,2022-02-18,high,1
SUP002,GrainMart Industries,Indore,Madhya Pradesh,Staples,10,45,26916,7587000,2021-10-13,medium,1
SUP003,PureFarm Commodities,Karnal,Haryana,Staples,8,30,99019,3426000,2022-08-30,high,1
SUP004,NatureCare Products,Coimbatore,Tamil Nadu,Personal Care,12,45,53286,7632000,2022-09-06,high,1
SUP005,HerbalRoot Mfg Co,Pune,Maharashtra,Personal Care,15,60,41477,9522000,2020-04-30,medium,1
SUP006,GreenLeaf Essentials,Ahmedabad,Gujarat,Personal Care,14,45,11863,6930000,2022-02-13,low,1
SUP007,CrunchBite Foods Pvt Ltd,Rajkot,Gujarat,Snacks,9,30,62178,1920000,2022-07-21,high,1
SUP008,SnackFactory India,Ludhiana,Punjab,Snacks,11,30,17707,3978000,2022-08-15,low,1
SUP009,MunchWell Industries,Nashik,Maharashtra,Snacks,10,45,43667,4518000,2022-05-01,medium,1
SUP010,BrewMaster Beverages,Bengaluru,Karnataka,Beverages,13,60,90591,4002000,2022-10-12,high,1
SUP011,TeaLeaf Exports Ltd,Siliguri,West Bengal,Beverages,18,45,46540,7627500,2020-08-26,medium,1
SUP012,DrinkWell Co,Chennai,Tamil Nadu,Beverages,16,60,20366,6204000,2020-01-27,low,1
SUP013,CleanHome Chemicals,Surat,Gujarat,Household,8,30,93891,5898000,2021-11-09,high,1
SUP014,PureClean Mfg Ltd,Hyderabad,Telangana,Household,10,45,32821,4693500,2021-03-29,medium,1
SUP015,HomeGuard Industries,Kanpur,Uttar Pradesh,Household,12,30,58577,5625000,2020-10-13,high,1
